time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
68700,32.8255780491711,34.9556443317376,9.2942341,-11.636042717047147,-29.51738552888226,0.9000808613341507,-1.2,-3.0,-0.1,-1.1,-8.5,245.2
68800,32.825576966334,34.955641104245,9.2942341,-11.756130081023075,-29.819597968327503,0.9000825060023585,-1.2,-3.0,-0.1,-2.4,-9.1,245.3
68900,32.8255759622094,34.9556381321339,9.2942341,-11.867488171258396,-30.097897280997348,0.9000840388349767,-1.2,-2.9,-0.1,-3.5,-9.5,245.3
69000,32.8255749185201,34.955635137329,9.1942341,-11.983233844262696,-30.378321107191063,1.0000856029230514,-1.2,-2.9,-0.1,-3.8,-9.6,245.2
69100,32.8255738275147,34.9556321868107,9.2942341,-12.10422732887471,-30.65459906331049,0.9000871711772751,-1.3,-2.9,-0.2,-3.3,-8.8,245.1
69200,32.8255725649495,34.9556289256953,9.2942341,-12.244246766461169,-30.95995992430441,0.9000889345585485,-1.3,-2.9,-0.2,-2.1,-9.1,245.2
69300,32.8255713160762,34.9556256320787,9.2942341,-12.382747732835124,-31.268364098950848,0.9000907261746156,-1.4,-2.9,-0.2,-1.6,-8.9,245.4
69400,32.8255700757882,34.9556224287683,9.2942341,-12.520296594308055,-31.568312294393333,0.9000924926828442,-1.4,-2.9,-0.2,-0.9,-9.3,245.4
69500,32.8255688837802,34.9556193638635,9.2942341,-12.652491162940306,-31.855300622303314,0.9000942000363668,-1.4,-2.9,-0.2,-0.5,-8.6,245.3
69600,32.8255676265302,34.9556161184279,9.2942341,-12.791921105054145,-32.159193309662335,0.9000960223038819,-1.4,-2.9,-0.2,-0.5,-9.3,245.2
69700,32.8255664191107,34.9556130422679,9.2942341,-12.925824811720263,-32.44723555972083,0.9000977694614929,-1.4,-2.9,-0.1,-0.6,-9.4,245.0
69800,32.8255650978172,34.955609725509,9.2942341,-13.072357234771017,-32.75780677378274,0.9000996777894161,-1.4,-2.9,-0.1,-0.5,-8.7,244.8
69900,32.8255638829589,34.9556066856835,9.2942341,-13.207085909024306,-33.04244679591803,0.9001014428637237,-1.3,-2.9,-0.2,-1.2,-8.7,244.6
70000,32.8255626441039,34.9556035216438,9.2942341,-13.344475807702358,-33.338717857100036,0.9001032895175327,-1.3,-3.0,-0.2,1.3,-9.1,244.8
70100,32.8255614953995,34.9556004465848,9.2942341,-13.471867885814225,-33.62665702268173,0.9001050887405602,-1.3,-3.0,-0.1,1.0,-8.4,244.9
70200,32.8255602091372,34.955597233732,9.2942341,-13.614515291846295,-33.927498822264766,0.9001070051034978,-1.3,-3.0,-0.1,-2.0,-8.1,245.0
70300,32.8255590414256,34.9555941236435,9.2942341,-13.744015270269784,-34.21871806103005,0.9001088578925089,-1.3,-3.0,-0.1,-2.5,-8.9,245.2
70400,32.8255578276225,34.9555908489282,9.2942341,-13.878626802463822,-34.52535245541374,0.900110821725232,-1.2,-2.9,-0.1,-1.2,-9.3,245.2
70500,32.8255567375942,34.9555877087852,9.2942341,-13.999511556073456,-34.81938588752368,0.9001127039279613,-1.2,-3.0,-0.2,-0.4,-9.0,245.2
70600,32.8255556176807,34.9555842595745,9.3942341,-14.123710736674244,-35.142360013267094,0.8001147684585548,-1.1,-3.1,-0.2,-0.4,-8.6,245.2
70700,32.8255546268312,34.9555810764907,9.3942341,-14.233596379595609,-35.4404142656266,0.8001166809763132,-1.1,-3.0,-0.2,-3.0,-10.1,245.4
70800,32.825553581331,34.9555778144986,9.3942341,-14.349542831877718,-35.74585726929631,0.8001186659177919,-1.2,-3.0,-0.2,-5.5,-8.4,245.3
70900,32.8255525203021,34.9555748058695,9.3942341,-14.467211519553873,-36.02757617797221,0.8001205349642357,-1.2,-2.9,-0.1,-6.7,-8.4,245.5
71000,32.825551429896,34.9555718542093,9.4942341,-14.588138426213506,-36.30396129379883,0.700122395570856,-1.3,-2.8,-0.1,-4.8,-9.7,245.8
71100,32.82555028566,34.9555689116837,9.4942341,-14.71503491639403,-36.57949053387383,0.7001242804815497,-1.3,-2.8,-0.1,-2.6,-9.7,245.8
71200,32.8255490739804,34.9555657891983,9.4942341,-14.849410933962194,-36.87187067316221,0.7001262944014424,-1.3,-2.8,-0.1,-1.8,-10.4,245.8
71300,32.8255479329753,34.9555628370895,9.4942341,-14.975949093500969,-37.14829726805055,0.7001282126439765,-1.3,-2.8,0.0,-1.4,-11.3,245.7
71400,32.8255467465952,34.9555597416816,9.4942341,-15.10751934967471,-37.438141962140556,0.7001302366618409,-1.3,-2.8,0.0,-1.1,-11.7,245.7
71500,32.8255456375597,34.9555566562647,9.4942341,-15.230511968614325,-37.7270511049236,0.7001322498515501,-1.3,-2.9,-0.1,-0.9,-11.6,245.5
71600,32.8255444390901,34.9555535287634,9.5942341,-15.363423184024434,-38.019901544095816,0.6001343283362353,-1.3,-2.9,-0.1,-0.3,-10.2,245.5
71700,32.8255433140307,34.9555505335099,9.5942341,-15.488192895005222,-38.300368097658534,0.600136325892425,-1.2,-2.9,-0.1,-0.8,-11.1,245.8
71800,32.8255421491982,34.9555473301995,9.6942341,-15.617373667457379,-38.600317076538296,0.5001384687027288,-1.2,-2.9,-0.1,-1.6,-11.2,245.8
71900,32.8255409569688,34.9555442918421,9.6942341,-15.749592602515866,-38.884819791480446,0.5001405409684265,-1.2,-2.9,-0.1,-1.7,-11.2,245.7
